persona_id;anio;sexo_id;edad;maximo_grado_academico_id;disciplina_maximo_grado_academico_id;disciplina_titulo_grado_id;disciplina_experticia_id;tipo_personal_id;producciones_ult_anio;producciones_ult_2_anios;producciones_ult_3_anios;producciones_ult_4_anios;institucion_trabajo_id;seniority_level;categoria_conicet_id;categoria_incentivos;max_dedicacion_horaria_docente_id;institucion_cargo_docente_id;clase_cargo_docente_id;tipo_condicion_docente_id
56394;2011;2;33;2;188;188;276;3;2;3;4;4;8638;C  ;-1;5;1;8638;20;2
56395;2011;1;29;5;113;113;168;2;0;0;0;0;751;   ;;;;;;
56396;2011;2;33;5;-1;-1;275;1;4;7;9;10;309;D  ;6;-1;3;4722;69;1
56397;2011;2;44;2;281;251;251;4;0;0;2;2;9078;   ;-1;3;2;568;18;1
56398;2011;2;53;1;134;134;134;4;1;1;3;3;291;   ;-1;5;3;291;20;1
56399;2011;2;58;5;243;243;243;3;2;2;3;3;556;B  ;-1;3;1;550;18;1
56403;2011;2;34;2;221;-1;221;1;1;5;11;20;1416;C  ;6;5;3;1988;18;2
56404;2011;1;44;5;17;17;256;1;0;1;1;1;386;C  ;-1;5;3;384;21;2
56405;2011;1;40;5;232;232;233;3;0;2;3;4;1102;C  ;-1;4;2;1102;18;2
56406;2011;2;68;5;174;174;257;3;4;8;10;11;5376;A  ;3;2;3;299;61;1
